id_turbina,ciclo_tiempo,s2_temp_salida_lpc_C,s3_temp_salida_hpc_C,s8_velocidad_fan_rpm,s20_vibracion_hpt_G,Estado_Motor
1,1,643.25,1573.68,2392.29,38.39,Normal
1,2,642.29,1581.63,2394.73,38.52,Normal
1,3,643.47,1582.26,2401.0,39.17,Normal
1,4,644.78,1578.58,2400.65,39.11,Normal
1,5,642.15,1583.71,2371.47,38.79,Normal
1,6,642.15,1588.23,2376.75,38.86,Normal
1,7,644.87,1600.09,2394.18,39.44,Normal
1,8,643.65,1586.4,2394.17,38.5,Normal
1,9,641.8,1587.06,2394.18,39.07,Normal
1,10,643.31,1584.4,2434.23,38.7,Normal
1,11,641.8,,2394.85,38.69,Normal
1,12,641.8,1584.79,2401.63,39.35,Normal
1,13,642.86,1585.48,2399.45,39.21,Normal
1,14,639.63,1604.71,2395.82,39.21,Normal
1,15,639.91,1583.46,2384.22,39.45,Normal
1,16,641.66,1587.41,2397.11,38.81,Normal
1,17,640.98,1584.72,2378.73,39.14,Normal
1,18,642.97,1575.65,2385.16,38.64,Normal
1,19,641.14,1594.14,2382.18,38.96,Normal
1,20,640.38,1591.02,2388.98,38.73,Normal
1,21,644.7,1591.33,2415.78,38.85,Normal
1,22,642.16,1577.72,2365.59,39.1,Normal
1,23,642.6,1596.22,2396.24,38.39,Normal
1,24,640.36,1573.79,2368.65,39.85,Normal
1,25,641.68,1589.69,2382.34,38.3,Normal
1,26,642.67,1602.52,2401.07,,Normal
1,27,640.77,1577.08,2388.77,39.38,Normal
1,28,643.06,1580.47,2375.07,39.2,Normal
1,29,641.6,1585.8,2379.42,39.11,Normal
1,30,642.06,1580.97,2396.16,39.11,Normal
1,31,641.6,1572.59,2379.24,38.79,normal
1,32,645.28,1585.55,2390.6,38.35,Normal
1,33,642.48,1576.5,2388.55,38.84,Normal
1,34,640.91,1588.79,2380.18,38.46,Normal
1,35,643.73,1577.64,2413.73,39.29,Normal
1,36,640.67,1597.4,2395.61,38.73,Normal
1,37,642.81,1578.73,2363.7,38.39,Normal
1,38,639.56,1582.42,2390.24,38.64,Normal
1,39,640.51,1591.51,2380.06,39.01,Normal
1,40,642.8,1575.15,2398.23,38.52,Normal
1,41,643.61,1586.82,2378.49,38.39,Normal
1,42,642.76,1595.46,2386.62,38.92,Normal
1,43,642.33,1572.14,2394.06,38.92,Normal
1,44,642.05,1586.48,2398.39,38.55,Normal
1,45,640.28,1587.08,2373.6,38.56,Normal
1,46,641.42,1591.25,2383.99,38.92, NORMAL 
1,47,641.81,1575.1,2382.3,38.08,Normal
1,48,644.09,1574.44,2380.16,38.1,Normal
1,49,643.02,1589.18,2409.19,38.44,Normal
1,50,639.86,1587.38,2392.86,38.69,Normal
2,1,642.99,1587.0,2372.87,38.96,Normal
2,2,641.92,1587.77,2399.01,39.54,Normal
2,3,641.48,1579.56,2413.47,39.23,Normal
2,4,643.42,1586.86,2400.39,38.72,Normal
2,5,644.05,1587.34,2369.77,38.79,Normal
2,6,643.9,1579.29,2382.19,38.3,Normal
2,7,641.24,1599.93,2403.2,38.79,Normal
2,8,642.04,1588.79,2379.51,38.66,Normal
2,9,643.0,1575.47,2393.33,38.96,Normal
2,10,643.96,1590.25,2397.3,38.39,Normal
2,11,641.78,1577.2,2376.88,39.06,Advertencia
2,12,642.22,1591.3,2387.29,39.57,Normal
2,13,640.84,1594.27,2349.1,38.75,Normal
2,14,640.71,1578.43,2375.71,39.0,Normal
2,15,643.72,1592.71,2384.97,39.15,Normal
2,16,644.53,1588.3,2373.03,38.6,Normal
2,17,642.39,1591.58,2407.59,38.91,Normal
2,18,644.01,1600.17,2370.84,38.81,Normal
2,19,643.04,1583.04,2382.72,38.85,Normal
2,20,641.53,1578.97,2389.57,38.41,Normal
2,21,643.04,1577.88,2405.3,38.81,Normal
2,22,644.81,1578.47,2370.77,39.05,Normal
2,23,642.45,1584.38,2401.96,39.53,Normal
2,24,644.85,1587.73,2388.12,39.28,Normal
2,25,638.57,1587.21,2376.22,39.88,Normal
2,26,643.73,1591.62,2393.55,38.42,Normal
2,27,642.63,1585.1,2390.39,39.24,Normal
2,28,642.05,1596.63,2380.8,38.89,Normal
2,29,642.64,1582.88,2388.84,39.89,Normal
2,30,639.52,1606.76,2383.38,38.4,Normal
2,31,642.17,1590.01,2389.36,38.38,Normal
2,32,643.04,1578.14,2395.95,38.5,Normal
2,33,644.72,1576.43,2407.03,37.74,Normal
2,34,641.72,1588.86,2373.15,38.54,Normal
2,35,641.29,1583.21,2413.6,38.42,Normal
2,36,641.75,1590.71,2364.57,38.88,Normal
2,37,643.87,1588.79,2386.18,38.97,Normal
2,38,642.99,1584.42,2395.06,39.74,Normal
2,39,641.71,1578.23,2391.37,39.28,Normal
2,40,643.27,1572.88,2380.53,38.51,Normal
2,41,642.65,1581.43,2385.5,38.35,Normal
2,42,643.95,1591.85,2382.08,39.05,Normal
2,43,641.45,1586.71,2380.93,38.14,Normal
2,44,642.01,1575.03,2398.2,39.72,Normal
2,45,641.91,1586.39,2392.28,39.39,Normal
2,46,640.3,1588.08,2379.69,38.57,Normal
2,47,642.94,1577.93,2398.8,37.94,Normal
2,48,642.89,1586.23,2391.69,39.48,Normal
2,49,642.51,1585.47,2397.75,38.74,Normal
2,50,642.15,1575.86,2395.56,39.42,Normal
1,5,642.15,1583.71,2371.47,38.79,Normal
1,19,641.14,1594.14,2382.18,38.96,Normal
